provider_id,npi,name,specialty,street,city,state,zip,phone
PRV00001,4979315673,Molly Rose,Dermatology,66907 Griffith Forks Apt. 500,Lake Amberfurt,TX,28891,001-477-683-5337x40681
PRV00002,3758633299,Karen Manning,OB/GYN,586 Kevin Radial,Mathishaven,MO,77702,(762)958-5178x1286
PRV00003,2272987056,Jose Farley,Pediatrics,0499 Holland Extension,North Kaylee,ND,72372,001-457-548-9068
PRV00004,3878940490,Krista White,Urology,75983 Washington Knolls Suite 508,Stephentown,AS,30595,684-501-1070
PRV00005,4664843848,Jason Lopez,Dermatology,92541 Erik Pines Apt. 447,Tylerville,AK,41396,848-439-6030
PRV00006,8719792472,Erica Mccoy,Psychiatry,278 Stephens Forges,Walkertown,MO,88961,6424304114
PRV00007,3855051695,Jessica Lee,OB/GYN,420 Brittany Forge Suite 298,South Jamesville,IL,75655,664-287-0596
PRV00008,2609337231,Patricia Patel,Orthopedics,59256 Joseph Court,Randolphstad,PW,90561,701-622-2834
PRV00009,8902531710,Luis Casey,Psychiatry,5143 Taylor Plaza Apt. 506,South Michelleberg,MP,16887,(919)683-9145x4981
PRV00010,5421990790,Christopher Allen,Orthopedics,40901 Wilson Turnpike,East Johnshire,MT,21737,001-216-268-4847x5135
PRV00011,7778213901,Luke Whitney,Family Medicine,9576 Ross Circles,Taramouth,DE,33277,+1-575-742-8343
PRV00012,1731644238,Elizabeth Cook,Gastroenterology,1719 Shepard Loaf,Blakeburgh,MD,76392,+1-899-391-3303
PRV00013,3355095800,Carrie Parsons,Oncology,110 Kelly Turnpike Suite 772,New Kimberlymouth,CA,67252,(454)218-9423
PRV00014,7501599785,Joshua Smith,OB/GYN,832 Reynolds Estate Apt. 341,Stokesside,KS,71460,424-670-6900x59292
PRV00015,6812268282,John Walker MD,Endocrinology,9629 Jesus Avenue Apt. 858,Conradbury,IA,41524,+1-594-630-1852
PRV00016,4132749951,Michelle Casey,Dermatology,485 Jacqueline Street Suite 911,Thompsonview,NE,29024,365.468.2808x1414
PRV00017,4475229416,Joseph Blankenship,OB/GYN,3666 Renee Mill,New Regina,IL,16123,+1-544-636-8038x79009
PRV00018,6177519760,Scott Hammond MD,Oncology,42834 Willis Glen,Moodyburgh,ND,47287,(734)610-1908x4218
PRV00019,3381134998,Jamie Harris,Family Medicine,585 David Stravenue Suite 548,Morganshire,NM,15324,6494837986
PRV00020,7070506973,Alex Griffith,Oncology,835 Erika Prairie Suite 659,South Vanessabury,SC,85533,(864)621-9054
PRV00021,7074907055,Jonathon Shah,Orthopedics,4727 Joseph Courts,Jonesland,TN,58498,001-316-349-4383x354
PRV00022,7925430606,Erin Walker,Family Medicine,8802 Delgado Station Suite 593,Hoffmanburgh,NJ,34517,+1-930-496-5634x312
PRV00023,3576358404,Brett Lopez Jr.,Psychiatry,8222 Ward Terrace Suite 313,Carlosbury,MO,42623,+1-403-307-8975x419
PRV00024,3510240337,David Crawford,Neurology,3776 Teresa Freeway,Stevenshire,MS,28276,631-500-0756
PRV00025,2096479553,Donald Wilson,Internal Medicine,20062 Annette Glens Apt. 174,North Amandahaven,MP,17399,730-672-4376
PRV00026,1302595366,Derek Bishop,Gastroenterology,330 Michael Rapids Apt. 586,Lake Nicole,NE,87321,001-714-321-2036x00187
PRV00027,2945614990,Amy Green,Family Medicine,28072 Hines Mission Apt. 841,Laurenland,ME,04982,001-724-861-4163x8835
PRV00028,8540187780,Austin Turner,Neurology,27889 Penny Village Suite 235,Meyerville,MT,45770,+1-385-464-5545x8808
PRV00029,2153807478,Samuel King II,Cardiology,559 Shannon Harbors Suite 756,New Laurieberg,AR,69144,001-455-256-4795
PRV00030,3683504527,Christine Jones,Neurology,3921 Katie Stream,Port Coryside,TX,35330,001-781-913-2860
PRV00031,2246761692,Katelyn Powell,Orthopedics,39736 Lowe Plains Apt. 714,Harrisside,WI,50402,799.660.5703x40814
PRV00032,5980553707,Amanda Fisher,Pediatrics,869 Chavez Curve Suite 928,West Dana,NE,96987,901-310-6474x5756
PRV00033,5088626994,Jessica Waters,Oncology,2620 Lisa Land Apt. 946,Sheilaport,WA,55650,637.466.1123x2301
PRV00034,8351222782,John Mcguire,Gastroenterology,62016 Andrea Place Suite 501,Conleyville,KS,90226,8313617487
PRV00035,8312721060,Mary Frost DVM,Psychiatry,26932 Butler Plain Suite 783,Michelleville,AL,99824,408-474-1384x436
PRV00036,3034831019,Christopher Blake,Psychiatry,68908 Sonya Groves Suite 744,Lewisstad,PA,62176,001-997-982-0858x2359
PRV00037,6635018266,Samantha Robinson,Family Medicine,22431 Anna Spur Apt. 393,Roberttown,WI,03129,001-334-654-9860x1552
PRV00038,6102589964,Blake Frost,Orthopedics,905 Christopher Cove,Loganview,NC,07023,(631)854-0851x529
PRV00039,5195058968,Amy Romero,Internal Medicine,998 Elliott Plain,Turnerbury,SC,40172,(633)664-8048
PRV00040,5189970085,Samantha Webb,Endocrinology,61518 Gardner Vista Apt. 947,East Charles,OR,19103,001-255-242-2676x19244
PRV00041,5371694837,Brett Maxwell,Cardiology,8170 George Manors,Sarahchester,MO,79901,+1-900-519-2885x8495
PRV00042,9741658811,Ian Molina,Pediatrics,85210 Henderson Stream,Jonton,RI,57500,373-298-2051x82875
PRV00043,4574464663,Bryan Freeman,Pediatrics,62631 Matthew Isle Apt. 775,Curtisborough,NE,58251,622-406-6101x276
PRV00044,7513745319,Vickie Solomon,Gastroenterology,140 Sanders Roads,New Heather,AL,71820,+1-825-531-8822x69083
PRV00045,5426823972,Margaret Mendoza,Cardiology,389 John Tunnel,Wilsonton,MS,12256,930.804.7462x92858
PRV00046,8004867726,Lisa Simon,Gastroenterology,663 Montoya Lake,West Ashley,PR,23459,524-544-5649x70224
